supplier_id,supplier_name,supplier_reliability,transportation_delay_risk,demand_uncertainty
S001,Alpha Metals,92,18,22
S002,Beta Plastics,88,25,30
S003,Gamma Textiles,75,42,44
S004,Delta Components,69,57,49
S005,Epsilon Parts,58,61,66
S006,Zeta Industrial,41,82,78
S007,Eta Logistics,34,90,88
S008,Theta Goods,81,36,28
S009,Iota Suppliers,63,70,52
S010,Kappa Raw,49,77,73
S011,Lambda Steel,95,15,18
S012,Mu Packaging,73,46,39
S013,Nu Minerals,66,58,61
S014,Xi Assemblies,54,64,69
S015,Omicron Inputs,38,85,80
S016,Pi Hardware,11,84,82
S017,Rho Global,87,26,28
S018,Sigma Process,65,52,59
S019,Tau Source,74,39,33
S020,Upsilon Freight,91,16,11
S021,Phi Chemicals,43,77,70
S022,Chi Alloys,59,79,72
S023,Psi Fabrication,98,14,7
S024,Omega Imports,13,91,70
S025,Aster Supply,59,60,54
S026,Brisk Components,82,40,57
S027,Crown Systems,80,43,42
S028,Dune Materials,48,73,54
S029,Ember Tech,54,79,60
S030,Flint Ware,34,82,69
S031,Globe Source,96,25,7
S032,Helix Cargo,94,11,27
S033,Ion Inputs,17,89,94
S034,Jade Mechanics,98,10,27
S035,Knox Tools,96,13,27
S036,Lumen Parts,12,90,96
S037,Matrix Line,82,41,34
S038,Noble Chains,96,16,10
S039,Orbit Fiber,70,35,38
S040,Prime Works,79,48,39
S041,Quartz Link,60,58,52
S042,River Steel,72,57,55
S043,Solar Inputs,48,78,59
S044,Terra Move,94,24,5
S045,Ultra Source,45,63,56
S046,Vector Goods,92,13,19
S047,Wave Dynamics,71,44,36
S048,Xeno Base,86,26,12
S049,Yield Craft,63,58,34
S050,Zenith Supply,63,71,67
S051,Arctic Forge,16,85,97
S052,Bastion Metals,82,45,35
S053,Cobalt Ridge,68,49,59
S054,Dyna Parts,90,25,24
S055,Ecto Systems,66,51,36
S056,Fusion Hub,57,58,74
S057,Gale Traders,47,73,74
S058,Horizon Lines,62,57,57
S059,Invar Tech,92,12,19
S060,Jetstream Co,83,44,50
S061,Keystone Raw,32,90,99
S062,Lattice Works,70,47,55
S063,Magnet Flow,63,69,61
S064,Nordic Steel,15,78,84
S065,Obsidian Links,69,35,47
S066,Peak Supply,16,73,98
S067,Quantum Core,15,93,85
S068,Reef Logistics,53,70,66
S069,Sentinel Parts,91,8,7
S070,Titan Chain,55,69,64
S071,Umbra Goods,23,75,81
S072,Vantage Supply,99,16,23
S073,Whitecap Mfg,89,9,28
S074,Xcel Freight,82,47,50
S075,Yellow Crane,77,33,55
S076,Zeal Supplies,79,55,39
S077,Amber Networks,62,52,54
S078,Blue Ridge Parts,89,27,7
S079,Cascade Works,63,56,41
S080,Dawn Metals,12,77,90
S081,Echo Forge,38,74,94
S082,Frontier Systems,81,45,47
S083,Glacial Goods,90,6,28
S084,Haven Logistics,80,44,59
S085,Inertia Inc,94,7,23
S086,Jolt Components,32,99,81
S087,Kraken Steel,27,99,99
S088,Lunar Materials,96,27,22
S089,Mystic Inputs,12,92,66
S090,Nautical Co,17,73,69
S091,Opal Freight,45,67,59
S092,Perch Supply,49,74,57
S093,Quarry Base,20,85,97
S094,Radiant Parts,29,91,68
S095,Surge Works,30,74,92
S096,Tangent Goods,60,74,65
S097,Umber Lines,92,8,16
S098,Vivid Chain,84,41,37
S099,Warden Supply,96,8,5
S100,Xtra Forge,92,6,5
S101,Yield Base,70,51,53
S102,Zenon Parts,64,43,43
S103,Apex Raw,21,80,79
S104,Boreal Steel,95,13,5
S105,Cipher Goods,87,11,12
S106,Drift Supply,95,25,10
S107,Envoy Parts,13,89,79
S108,Flare Metals,67,47,34
S109,Gravel Works,13,96,81
S110,Hydra Inputs,54,77,70
S111,Imperia Co,42,58,72
S112,Juno Freight,62,59,51
S113,Kinetic Steel,82,46,43
S114,Luxe Parts,50,77,65
S115,Maple Chain,99,12,8
S116,Nexus Supply,47,64,66
S117,Onyx Forge,79,38,52
S118,Pinnacle Works,67,45,43
S119,Quest Metals,93,22,8
S120,Relay Co,36,97,95
S121,Skyward Parts,48,59,53
S122,Torque Supply,26,78,91
S123,Unity Works,88,11,29
S124,Vertex Freight,25,82,70
S125,Windsor Co,18,80,91
S126,Xion Metals,92,15,13
S127,Yarrow Supply,49,58,60
S128,Zinc Works,13,99,77
S129,Atlas Freight,52,71,50
S130,Blaze Components,19,86,81
S131,Comet Supply,42,74,67
S132,Delta Force Parts,97,13,12
S133,Eagle Works,11,86,72
S134,Falcon Freight,56,59,57
S135,Grove Metals,15,85,77
S136,Harbor Co,61,69,56
S137,Innova Supply,63,38,57
S138,Journey Parts,44,72,57
S139,Karma Works,58,56,69
S140,Ledge Metals,36,99,72
S141,Monarch Supply,70,48,58
S142,Navarra Co,92,7,22
S143,Origin Freight,49,57,57
S144,Prospect Metals,49,71,63
S145,Quantum Goods,76,31,54
S146,Raft Supply,99,16,24
S147,Storm Works,44,57,60
S148,Thrive Parts,94,28,12
S149,Union Freight,68,35,42
S150,Valor Metals,32,94,86
